wsrid,city,statename
KABR,ABERDEEN, SD
KBIS,BISMARCK, ND
KFTG,FRONT RANGE AP, CO
KDMX,JOHNSTON, IA
KDTX,WHITE LAKE, MI
KDDC,DODGE CITY, KS
KDLH,DULUTH, MN
KCYS,CHEYENNE, WY
KLOT,ROMEOVILLE, IL
KGLD,GOODLAND, KS
KUEX,BLUE HILL, NE
KGJX,GRAND JUNCTION, CO
KGRR,GRAND RAPIDS, MI
KMVX,GRAND FORKS, ND
KGRB,GREEN BAY, WI
KIND,INDIANAPOLIS, IN
KJKL,JACKSON, KY
KARX,LA CROSSE, WI
KILX,LINCOLN, IL
KLVX,FORT KNOX, KY
KMQT,NEGAUNEE, MI
KMKX,DOUSMAN, WI
KMPX,CHANHASSEN, MN
KAPX,GAYLORD, MI
KLNX,NORTH PLATTE, NE
KIWX,NORTH WEBSTER, IN
KOAX,VALLEY, NE
KPAH,PADUCAH, KY
KEAX,PLEASANT HILL, MO
KPUX,PUEBLO, CO
KDVN,DAVENPORT, IA
KUDX,NEW UNDERWOOD, SD
KRIW,RIVERTON, WY
KSGF,SPRINGFIELD, MO
KLSX,WELDON SPRING, MO
KFSD,SIOUX FALLS, SD
KTWX,TOPEKA, KS
KICT,WICHITA, KS
KVWX,OWENSVILLE, IN
KLTX,SHALLOTTE, NC
KCCX,STATE COLLEGE, PA
KLWX,STERLING, VA
KFCX,ROANOKE, VA
KRAX,CLAYTON, NC
KGYX,GRAY, ME
KDIX,FORT DIX, NJ
KPBZ,CORAOPOLIS, PA
KAKQ,WAKEFIELD, VA
KMHX,NEWPORT, NC
KGSP,GREER, SC
KILN,WILMINGTON, OH
KCLE,CLEVELAND, OH
KCAE,WEST COLUMBIA, SC
KBGM,BINGHAMTON, NY
KENX,EAST BERNE, NY
KBUF,BUFFALO, NY
KCXX,COLCHESTER, VT
KCBW,HOULTON, ME
KBOX,TAUNTON, MA
KOKX,UPTON, NY
KCLX,GRAYS, SC
KRLX,CHARLESTON, WV
KBRO,BROWNSVILLE, TX
KABX,ALBUQUERQUE, NM
KAMA,AMARILLO, TX
KFFC,PEACHTREE CITY, GA
KEWX,NEW BRAUNFELS, TX
KBMX,ALABASTER, AL
KCRP,CORPUS CHRISTI, TX
KFWS,FORT WORTH, TX
KEPZ,SANTA TERESA, NM
KHGX,DICKINSON, TX
KJAX,JACKSONVILLE, FL
KBYX,BOCA CHICA KEY, FL
KMRX,MORRISTOWN, TN
KLBB,LUBBOCK, TX
KLZK,NORTH LITTLE ROCK, AR
KLCH,LAKE CHARLES, LA
KOHX,OLD HICKORY, TN
KMLB,MELBOURNE, FL
KNQA,MILLINGTON, TN
KAMX,MIAMI, FL
KMAF,MIDLAND, TX
KTLX,OKLAHOMA CITY, OK
KHTX,HYTOP, AL
KMOB,MOBILE, AL
KTLH,TALLAHASSEE, FL
KTBW,RUSKIN, FL
KSJT,SAN ANGELO, TX
KINX,INOLA, OK
KSRX,CHAFFEE RIDGE, AR
KLIX,SLIDELL, LA
KDGX,BRANDON, MS
KSHV,SHREVEPORT, LA
KLGX,LANGLEY HILL, WA
KOTX,SPOKANE, WA
KEMX,TUCSON, AZ
KYUX,YUMA, AZ
KNKX,SAN DIEGO, CA
KMUX,LOS GATOS, CA
KHNX,HANFORD, CA
KSOX,SANTA ANA MOUNTAINS, CA
KATX,EVERETT, WA
KIWA,PHOENIX, AZ
KRTX,PORTLAND, OR
KSFX,SPRINGFIELD, ID
KRGX,NIXON, NV
KDAX,DAVIS, CA
KMTX,SALT LAKE CITY, UT
KPDT,PENDLETON, OR
KMSX,MISSOULA, MT
KESX,LAS VEGAS, NV
KVTX,LOS ANGELES, CA
KMAX,MEDFORD, OR
KFSX,FLAGSTAFF, AZ
KGGW,GLASGOW, MT
KLRX,ELKO, NV
KBHX,EUREKA, CA
KTFX,GREAT FALLS, MT
KCBX,BOISE, ID
KBLX,BILLINGS, MT
KICX,CEDAR CITY, UT
PABC,ANCHORAGE, AK
PAPD,FAIRBANKS, AK
PHKM,HONOLULU, HI
PAHG,ANCHORAGE, AK
PAKC,ANCHORAGE, AK
PAIH,ANCHORAGE, AK
PHMO,HONOLULU, HI
PAEC,FAIRBANKS, AK
TJUA,SAN JUAN, PR
PACG,JUNEAU, AK
PHKI,HONOLULU, HI
PHWA,HONOLULU, HI
KFDR,NORMAN, OK
PGUA,AGANA, GU
KBBX,SACRAMENTO, CA
KFDX,ALBUQUERQUE, NM
KGWX,JACKSON, MS
KDOX,WAKEFIELD, VA
KDYX,SAN ANGELO, TX
KEYX,LAS VEGAS, NV
KEVX,MOBILE, AL
KHPX,PADUCAH, KY
KTYX,SOUTH BURLINGTON, VT
KGRK,FORT WORTH, TX
KPOE,LAKE CHARLES, LA
KEOX,TALLAHASSEE, FL
KHDX,SANTA TERESA, NM
KDFX,NEW BRAUNFELS, TX
KMXX,ALABASTER, AL
KMBX,BISMARCK, ND
KVAX,JACKSONVILLE, FL
KJGX,PEACHTREE CITY, GA
KVNX,NORMAN, OK
"PHOENIX, AZ",KIWA,
"SALT LAKE CITY, UT",KICX,
"SAN DIEGO, CA",KNKX,
"SEATTLE / TACOMA, WA",KATX,
"TULSA, OK",KINX,
"ANCHORAGE, AK",PAHG,
"FAIRBANKS, AK",PAPD,
GUAM,PGUA,
"HONOLULU, HI",PHKI,
"JUNEAU, AK",PACG,
"SAN JUAN, PR",TJUA,
VANDENBERG AFB,ORCUTT, CA
KADENA AB,HICKAM AFB, HI
KUNSAN AB,HICKAM AFB, HI
CAMP HUMPHREYS,HICKAM AFB, HI
